topic	count
core_armored_CART_multi_cytokine	23
core_armored_CART_IL18	16
core_armored_CART_IL7	13
core_armored_CART_IL12	10
core_armored_CART_IL15	10
core_armored_CART_IL2	6
engineered_T_cell_support_IL12	12
engineered_T_cell_support_IL15	11
engineered_T_cell_support_IL2	11
engineered_T_cell_support_IL7	7
engineered_T_cell_support_multi_cytokine	7
engineered_T_cell_support_IL18	1
GPC3_HCC_general_background	50
GPC3_HCC_CART_background	18
GPC3_HCC_low_antigen_background	17
likely_exclude_or_off_topic	114
review_or_general_CART_cytokine_context	52
general_T_cell_cytokine_support_multi_cytokine	14
cytokine_general_low_priority	10
general_T_cell_cytokine_support_IL2	8
general_T_cell_cytokine_support_IL15	6
general_T_cell_cytokine_support_IL12	3
general_T_cell_cytokine_support_IL18	3
general_T_cell_cytokine_support_IL7	2
