condition,replicate,returncode,reported_seed,time_min,live_tumor_count,live_cart_count,mean_cart_activation,mean_cart_exhaustion,mean_aux_cytokine,mean_IFNg,mean_tumor_PDL1,tumor_remaining_fraction,metrics_csv
il_12,1,0,840743271,1.4400000000e+03,1573,746,4.2680621913e-01,4.4576886865e-01,1.1309988163e-01,3.4607746884e-02,5.1135621090e-02,7.8650000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_12\replicate_01\metrics.csv
il_12,2,0,3509309179,1.4400000000e+03,1560,692,4.2636756937e-01,4.7866048964e-01,1.0906371107e-01,3.2502325783e-02,4.9404055110e-02,7.8000000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_12\replicate_02\metrics.csv
il_12,3,0,66779777,1.4400000000e+03,1658,711,4.4002409344e-01,4.7367864138e-01,1.1533507558e-01,3.4793627960e-02,5.0070290139e-02,8.2900000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_12\replicate_03\metrics.csv
il_15,1,0,3706264252,1.4400000000e+03,1419,972,4.0875613098e-01,4.1315528890e-01,2.2713959283e-01,4.7293175658e-02,7.0291621858e-02,7.0950000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_15\replicate_01\metrics.csv
il_15,2,0,3462834243,1.4400000000e+03,1432,946,4.0675516782e-01,4.2765576412e-01,2.3247568793e-01,4.7225472221e-02,7.7323998515e-02,7.1600000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_15\replicate_02\metrics.csv
il_15,3,0,3942299721,1.4400000000e+03,1345,998,3.9048325725e-01,4.2063005296e-01,2.3068831432e-01,4.8170380422e-02,8.0376910089e-02,6.7250000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_15\replicate_03\metrics.csv
il_18,1,0,1840748919,1.4400000000e+03,1516,841,4.1811577202e-01,4.4421714531e-01,2.0504242436e-01,4.0460428413e-02,6.4699118833e-02,7.5800000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_18\replicate_01\metrics.csv
il_18,2,0,1094805683,1.4400000000e+03,1493,949,3.7829983170e-01,4.3345871471e-01,1.9947236650e-01,4.1442926760e-02,6.4066851797e-02,7.4650000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_18\replicate_02\metrics.csv
il_18,3,0,1529525652,1.4400000000e+03,1455,851,4.0266684157e-01,4.3551147869e-01,2.0711908356e-01,4.1216902233e-02,6.7039083834e-02,7.2750000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_18\replicate_03\metrics.csv
il_2,1,0,2271091958,1.4400000000e+03,1657,721,3.9665192067e-01,4.5343493173e-01,1.0771046594e-01,3.2009905139e-02,4.9046508502e-02,8.2850000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_2\replicate_01\metrics.csv
il_2,2,0,1910831152,1.4400000000e+03,1681,805,4.1801263423e-01,4.7434922358e-01,1.1705908792e-01,3.6037135876e-02,5.1142814863e-02,8.4050000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_2\replicate_02\metrics.csv
il_2,3,0,1449030462,1.4400000000e+03,1734,740,4.5206537329e-01,4.9128907559e-01,1.1352576514e-01,3.3922128444e-02,4.9449406366e-02,8.6700000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_2\replicate_03\metrics.csv
il_7,1,0,1189551128,1.4400000000e+03,1599,910,3.9298024282e-01,4.6727510067e-01,2.0375094238e-01,3.9293280055e-02,5.5060040798e-02,7.9950000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_7\replicate_01\metrics.csv
il_7,2,0,229467153,1.4400000000e+03,1647,891,3.7835631814e-01,4.4749731519e-01,1.9444237664e-01,3.5856334276e-02,5.2635791113e-02,8.2350000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_7\replicate_02\metrics.csv
il_7,3,0,2849438151,1.4400000000e+03,1585,932,4.0414900085e-01,4.6129530911e-01,1.9763995539e-01,3.8094341964e-02,5.2774108644e-02,7.9250000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round2_post_refine_replicates3\il_7\replicate_03\metrics.csv
